,0
0,aids
1,aids aids
2,aids aids aids
3,article
4,articles
5,ass
6,ass ass
7,ass ass ass
8,bastered
9,bastered bastered
10,bastered bastered bastered
11,best
12,best best
13,best best best
14,bitch
15,block
16,bullshit
17,care
18,did
19,die
20,die die
21,die die die
22,does
23,don
24,dont
25,edit
26,editing
27,edits
28,fat
29,fat jew
30,fat jew fat
31,freedom
32,freedom freedom
33,freedom freedom freedom
34,fuck
35,fuck fuck
36,fuck fuck fuck
37,fucking
38,going
39,good
40,hate
41,hate hate
42,hate hate hate
43,help
44,hi
45,hi moron
46,hi moron hi
47,hitler
48,image
49,information
50,jew
51,jew fat
52,jew fat jew
53,just
54,know
55,life
56,like
57,little
58,ll
59,make
60,moron
61,moron hi
62,moron hi moron
63,need
64,new
65,nigger
66,page
67,pages
68,penis
69,people
70,person
71,piece
72,really
73,right
74,say
75,sex
76,shit
77,source
78,sources
79,stop
80,stupid
81,suck
82,sucks
83,talk
84,talk page
85,thanks
86,think
87,time
88,use
89,user
90,vandalism
91,ve
92,wanker
93,wanker wanker
94,wanker wanker wanker
95,want
96,way
97,wiki
98,wikipedia
99,work
