,0
0,aids
1,aids aids
2,article
3,articles
4,ass
5,ass ass
6,bad
7,bastered
8,bastered bastered
9,best
10,best best
11,bitch
12,block
13,blocked
14,bullshit
15,bullshit bullshit
16,care
17,deletion
18,did
19,die
20,die die
21,does
22,dog
23,don
24,dont
25,edit
26,editing
27,edits
28,fat
29,fat jew
30,freedom
31,freedom freedom
32,fuck
33,fuck fuck
34,fucking
35,going
36,good
37,hate
38,hate hate
39,help
40,hey
41,hi
42,hi moron
43,hitler
44,image
45,information
46,jew
47,jew fat
48,just
49,know
50,life
51,like
52,little
53,ll
54,look
55,love
56,make
57,moron
58,moron hi
59,need
60,new
61,nigger
62,page
63,pages
64,penis
65,people
66,person
67,piece
68,read
69,really
70,right
71,said
72,say
73,section
74,sex
75,shit
76,source
77,sources
78,stop
79,stupid
80,suck
81,sucks
82,talk
83,talk page
84,thanks
85,think
86,time
87,use
88,used
89,user
90,vandalism
91,ve
92,wanker
93,wanker wanker
94,want
95,way
96,wiki
97,wikipedia
98,work
99,wp
